"No.","Time","Source","Destination","Protocol","Length","Info"
"427","1.745116","192.168.123.23","192.168.123.10","TCP","66","666  >  33564 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1882036079 TSecr=3191997610"
"428","1.746622","192.168.123.23","192.168.123.10","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"429","1.746664","192.168.123.10","192.168.123.23","TCP","66","33564  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3191997612 TSecr=1882036081"
"430","1.753824","192.168.123.10","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"431","1.753872","192.168.123.23","192.168.123.10","TCP","66","666  >  33564 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1882036088 TSecr=3191997619"
"432","1.754471","192.168.123.23","192.168.123.10","TLSv1.3","769","Application Data"
"433","1.754502","192.168.123.10","192.168.123.23","TCP","66","33564  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3191997620 TSecr=1882036089"
"434","1.754635","192.168.123.23","192.168.123.10","TLSv1.3","769","Application Data"
"435","1.754653","192.168.123.10","192.168.123.23","TCP","66","33564  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3191997620 TSecr=1882036089"
"438","1.774017","192.168.123.27","192.168.123.23","TCP","74","49188  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4264170902 TSecr=0 WS=128"
"439","1.774051","192.168.123.23","192.168.123.27","TCP","74","666  >  49188 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1439084681 TSecr=4264170902 WS=128"
"440","1.774158","192.168.123.27","192.168.123.23","TCP","66","49188  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4264170902 TSecr=1439084681"
"441","1.774467","192.168.123.27","192.168.123.23","TLSv1.3","353","Client Hello"
"442","1.774556","192.168.123.23","192.168.123.27","TCP","66","666  >  49188 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1439084682 TSecr=4264170903"
"443","1.776456","192.168.123.23","192.168.123.27","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"444","1.776512","192.168.123.27","192.168.123.23","TCP","66","49188  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=4264170905 TSecr=1439084684"
"445","1.778450","192.168.123.27","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"446","1.778490","192.168.123.23","192.168.123.27","TCP","66","666  >  49188 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1439084686 TSecr=4264170907"
"447","1.779072","192.168.123.23","192.168.123.27","TLSv1.3","769","Application Data"
